tv_sk,tv_id,tv_valor,tv_comissao,cor_sk,im_sk,dt_sk
1,22,1314718.73,78883.12,8,22,20250615
2,14,815393.11,48923.59,1,29,20250505
3,13,1245896.04,74753.76,1,24,20250501
4,15,1429840.26,85790.42,4,18,20250510
5,26,1365126.21,81907.57,8,9,20250715
6,25,1365126.21,81907.57,4,9,20250715
7,18,1186514.26,71190.86,10,15,20250525
8,20,246776.59,14806.6,4,28,20250605
9,9,1385339.68,83120.38,1,7,20250410
10,29,293062.56,17583.75,3,17,20250830
11,28,1185790.1,71147.41,6,14,20250830
12,27,462792.59,27767.56,5,23,20250830
13,6,1077974.1,64678.45,8,12,20250325
14,12,1176950.06,70617,2,19,20250425
15,19,482343.45,28940.61,3,6,20250601
16,4,956740.95,57404.46,5,21,20250315
17,23,687892.85,41273.57,2,11,20250620
18,11,942104.83,56526.29,4,2,20250420
19,3,648957.32,38937.44,7,4,20250310
20,8,1323758.44,79425.51,9,3,20250405
21,16,775961.71,46557.7,4,20,20250515
22,7,529641.82,31778.51,1,8,20250401
23,21,508226.36,30493.58,3,26,20250610
24,2,300000.42,18000.03,5,10,20250305
25,24,567420.17,34045.21,10,13,20250625
26,1,722655,43359.3,7,25,20250301
27,17,395691.29,23741.48,1,5,20250520
28,10,422204.21,25332.25,6,27,20250415
29,5,530068.04,31804.08,2,30,20250320
