dt_sk,dt_data_completa,dt_dia_semana,dt_dia_mes,dt_mes,dt_ano,dt_trimestre
20250615,2025-06-15,0,15,6,2025,2
20250505,2025-05-05,1,5,5,2025,2
20250501,2025-05-01,4,1,5,2025,2
20250510,2025-05-10,6,10,5,2025,2
20250715,2025-07-15,2,15,7,2025,3
20250525,2025-05-25,0,25,5,2025,2
20250605,2025-06-05,4,5,6,2025,2
20250410,2025-04-10,4,10,4,2025,2
20250830,2025-08-30,6,30,8,2025,3
20250325,2025-03-25,2,25,3,2025,1
20250425,2025-04-25,5,25,4,2025,2
20250601,2025-06-01,0,1,6,2025,2
20250315,2025-03-15,6,15,3,2025,1
20250620,2025-06-20,5,20,6,2025,2
20250420,2025-04-20,0,20,4,2025,2
20250310,2025-03-10,1,10,3,2025,1
20250405,2025-04-05,6,5,4,2025,2
20250515,2025-05-15,4,15,5,2025,2
20250401,2025-04-01,2,1,4,2025,2
20250610,2025-06-10,2,10,6,2025,2
20250305,2025-03-05,3,5,3,2025,1
20250625,2025-06-25,3,25,6,2025,2
20250301,2025-03-01,6,1,3,2025,1
20250520,2025-05-20,2,20,5,2025,2
20250415,2025-04-15,2,15,4,2025,2
20250320,2025-03-20,4,20,3,2025,1
