ra_sk,ra_comissao_total,im_sk,dt_sk
1,23741.48,5,20250520
2,25332.25,27,20250415
3,38937.44,4,20250310
4,17583.75,17,20250830
5,41273.57,11,20250620
6,71147.41,14,20250830
7,18000.03,10,20250305
8,31778.51,8,20250401
9,74753.76,24,20250501
10,163815.14,9,20250715
11,28940.61,6,20250601
12,48923.59,29,20250505
13,14806.6,28,20250605
14,43359.3,25,20250301
15,85790.42,18,20250510
16,70617,19,20250425
17,34045.21,13,20250625
18,71190.86,15,20250525
19,46557.7,20,20250515
20,30493.58,26,20250610
21,64678.45,12,20250325
22,79425.51,3,20250405
23,83120.38,7,20250410
24,31804.08,30,20250320
25,78883.12,22,20250615
26,56526.29,2,20250420
27,57404.46,21,20250315
28,27767.56,23,20250830
