tv_sk,tv_id,tv_valor,tv_valor_cliente,tv_comissao,tv_comissao_cliente,tv_tipo_cliente,tv_total_compradores,tv_total_vendedores,cor_sk,im_sk,cl_sk,dt_sk
1,1,722655,361327.5,21679.65,43359.3,COMPRADOR,2,1,7,25,14,20250301
2,1,722655,361327.5,21679.65,43359.3,COMPRADOR,2,1,7,25,15,20250301
3,2,300000.42,150000.21,9000.015,18000.03,COMPRADOR,2,2,5,10,9,20250305
4,2,300000.42,150000.21,9000.015,18000.03,COMPRADOR,2,2,5,10,11,20250305
5,3,648957.32,648957.32,38937.44,38937.44,COMPRADOR,1,1,7,4,29,20250310
6,4,956740.95,956740.95,57404.46,57404.46,COMPRADOR,1,1,5,21,19,20250315
7,5,530068.04,265034.02,15902.04,31804.08,COMPRADOR,2,1,2,30,1,20250320
8,5,530068.04,265034.02,15902.04,31804.08,COMPRADOR,2,1,2,30,11,20250320
9,6,1077974.1,1077974.1,64678.45,64678.45,COMPRADOR,1,1,8,12,16,20250325
10,7,529641.82,529641.82,31778.51,31778.51,COMPRADOR,1,1,1,8,11,20250401
11,8,1323758.44,661879.22,39712.755,79425.51,COMPRADOR,2,2,9,3,9,20250405
12,8,1323758.44,661879.22,39712.755,79425.51,COMPRADOR,2,2,9,3,29,20250405
13,9,1385339.68,692669.84,41560.19,83120.38,COMPRADOR,2,1,1,7,3,20250410
14,9,1385339.68,692669.84,41560.19,83120.38,COMPRADOR,2,1,1,7,8,20250410
15,10,422204.21,422204.21,25332.25,25332.25,COMPRADOR,1,1,6,27,18,20250415
16,11,942104.83,942104.83,56526.29,56526.29,COMPRADOR,1,2,4,2,16,20250420
17,12,1176950.06,1176950.06,70617,70617,COMPRADOR,1,1,2,19,26,20250425
18,13,1245896.04,1245896.04,74753.76,74753.76,COMPRADOR,1,1,1,24,8,20250501
19,14,815393.11,407696.555,24461.795,48923.59,COMPRADOR,2,1,1,29,10,20250505
20,14,815393.11,407696.555,24461.795,48923.59,COMPRADOR,2,1,1,29,22,20250505
21,15,1429840.26,1429840.26,85790.42,85790.42,COMPRADOR,1,1,4,18,18,20250510
22,16,775961.71,775961.71,46557.7,46557.7,COMPRADOR,1,1,4,20,24,20250515
23,17,395691.29,395691.29,23741.48,23741.48,COMPRADOR,1,1,1,5,23,20250520
24,18,1186514.26,1186514.26,71190.86,71190.86,COMPRADOR,1,1,10,15,9,20250525
25,19,482343.45,482343.45,28940.61,28940.61,COMPRADOR,1,2,3,6,7,20250601
26,20,246776.59,123388.295,7403.3,14806.6,COMPRADOR,2,2,4,28,23,20250605
27,20,246776.59,123388.295,7403.3,14806.6,COMPRADOR,2,2,4,28,25,20250605
28,21,508226.36,508226.36,30493.58,30493.58,COMPRADOR,1,2,3,26,16,20250610
29,22,1314718.73,657359.365,39441.56,78883.12,COMPRADOR,2,2,8,22,10,20250615
30,22,1314718.73,657359.365,39441.56,78883.12,COMPRADOR,2,2,8,22,20,20250615
31,23,687892.85,687892.85,41273.57,41273.57,COMPRADOR,1,1,2,11,8,20250620
32,24,567420.17,567420.17,34045.21,34045.21,COMPRADOR,1,1,10,13,1,20250625
33,25,1365126.21,682563.105,40953.785,81907.57,COMPRADOR,2,1,4,9,2,20250715
34,25,1365126.21,682563.105,40953.785,81907.57,COMPRADOR,2,1,4,9,9,20250715
35,26,1365126.21,682563.105,40953.785,81907.57,COMPRADOR,2,1,8,9,5,20250715
36,26,1365126.21,682563.105,40953.785,81907.57,COMPRADOR,2,1,8,9,23,20250715
